stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000952000,Fjäderholmarna,59.327533,18.179319,1,,
9021001000953000,Sticklinge brygga,59.390328,18.109462,1,,
9021001000955000,Gåshaga brygga,59.357142,18.235192,1,,
9021001000956000,Mor Annas brygga,59.389758,18.137774,1,,
9021001000958000,Fjäderholmarna västra,59.329469,18.175924,1,,
9021001000961000,Tranholmen,59.376445,18.092023,1,,
9021001000962000,Ekudden,59.390015,18.090882,1,,
9021001000980000,Möjaström,59.403935,18.874748,1,,
9021001000981000,Berg,59.406162,18.888868,1,,
9021001000982000,Löka,59.410327,18.896207,1,,
9021001000983000,Långvik,59.442345,18.920982,1,,
9021001000985000,Höganäs,59.386946,18.342388,1,,
9021001000986000,Hässelmara,59.089310,18.415768,1,,
9021001000987000,Lättinge,59.044677,18.365165,1,,
9021001000988000,Ramsmora,59.423924,18.909558,1,,
9021001001011000,Slussen,59.319534,18.071617,1,,
9021001001021000,Gamla stan,59.323286,18.067171,1,,
9021001001051000,T-Centralen,59.331660,18.061694,1,,
9021001001111000,Hötorget,59.335610,18.062963,1,,
9021001001121000,Rådmansgatan,59.340879,18.057907,1,,
9021001001131000,Odenplan,59.342763,18.048653,1,,
9021001001141000,S:t Eriksplan,59.340288,18.037415,1,,
9021001001151000,Fridhemsplan,59.333017,18.031202,1,,
9021001001161000,Thorildsplan,59.331496,18.015855,1,,
9021001001171000,Kristineberg,59.332722,18.003096,1,,
9021001001201000,Alvik,59.333528,17.981303,1,,
9021001001211000,Stora mossen,59.334669,17.965347,1,,
9021001001221000,Abrahamsberg,59.336563,17.953172,1,,
9021001001231000,Brommaplan,59.338284,17.939641,1,,
9021001001241000,Åkeshov,59.342132,17.923430,1,,
9021001001251000,Ängbyplan,59.341951,17.907130,1,,
9021001001261000,Islandstorget,59.345995,17.893245,1,,
9021001001271000,Blackeberg,59.348370,17.882850,1,,
9021001001281000,Råcksta,59.354504,17.881625,1,,
